filer_lastname,filer_firstname,filer_office,office_first_name,office_middle_name,office_last_name,report_title,reporting_year,begin_travel_date,end_travel_date,date_received,transaction_date,num_pages,doc_url,file_name,source,id,date_of_birth,gender,party,state,notes,is_member,document_link
ABBOTT,STEVEN,"COLLINS, SUSAN",SUSAN,NA,NA,Employee Reimbursed Travel,2024,2024-05-02,2024-05-04,2024-05-31,2024-05-31,18,https://giftrule-disclosure.senate.gov/media/2024/8srdZv480WnjnXN25rwg.pdf,8srdZv480WnjnXN25rwg.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
ALEXANDER,SARAH,"CASSIDY, BILL",BILL,NA,NA,Employee Reimbursed Travel,2024,2024-04-04,2024-04-05,2024-05-03,2024-05-03,37,https://giftrule-disclosure.senate.gov/media/2024/1b2FEfFowkSUatqrdyebtg.pdf,1b2FEfFowkSUatqrdyebtg.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
ANDREWS,JESS,"KENNEDY, JOHN",JOHN,NA,NA,Employee Reimbursed Travel,2024,2024-05-10,2024-05-12,2024-05-23,2024-05-23,14,https://giftrule-disclosure.senate.gov/media/2024/Q6uUbuPV6kKBK592m6NJhw.pdf,Q6uUbuPV6kKBK592m6NJhw.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
AVITIA,REBECCA L,"HEINRICH, MARTIN",MARTIN,NA,NA,Employee Reimbursed Travel,2024,2024-04-18,2024-04-22,2024-05-15,2024-05-16,23,https://giftrule-disclosure.senate.gov/media/2024/QxkhYLNd3UKEeNOZnPo7GQ.pdf,QxkhYLNd3UKEeNOZnPo7GQ.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
BARDOT,RYAN,"SCHMITT, ERIC",ERIC,NA,NA,Employee Reimbursed Travel,2024,2024-04-04,2024-04-05,2024-05-15,2024-05-16,37,https://giftrule-disclosure.senate.gov/media/2024/tllovkdnkyuP4tNp2k3dA.pdf,tllovkdnkyuP4tNp2k3dA.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
BARDOT,RYAN,"SCHMITT, ERIC",ERIC,NA,NA,Employee Reimbursed Travel,2024,2023-08-23,2023-08-25,2024-05-15,2024-05-16,25,https://giftrule-disclosure.senate.gov/media/2024/89ODobUH2kiMnojaDw1Iw.pdf,89ODobUH2kiMnojaDw1Iw.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
BRAID,JAMES,"VANCE, J.D.",J.D.,NA,NA,Employee Reimbursed Travel,2024,2023-06-26,2023-06-28,2024-05-23,2024-05-23,11,https://giftrule-disclosure.senate.gov/media/2024/qPBmKxx7S0uxbomOp317mg.pdf,qPBmKxx7S0uxbomOp317mg.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
BRESLIN,BERNADETTE,"HAWLEY, JOSH",JOSH,NA,NA,Employee Reimbursed Travel,2024,2024-04-03,2024-04-05,2024-05-06,2024-05-07,16,https://giftrule-disclosure.senate.gov/media/2024/0NFS4I62kOJD9zyZm6meA.pdf,0NFS4I62kOJD9zyZm6meA.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
BURTON,LARRY,"SULLIVAN, DAN",DAN,NA,NA,Employee Reimbursed Travel,2024,2024-04-27,2024-04-29,2024-05-14,2024-05-14,19,https://giftrule-disclosure.senate.gov/media/2024/2U3bC0QP20GWyvDCQKaBJQ.pdf,2U3bC0QP20GWyvDCQKaBJQ.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
BURTON,LARRY,"SULLIVAN, DAN",DAN,NA,NA,Employee Reimbursed Travel,2024,2024-04-18,2024-04-22,2024-05-14,2024-05-14,17,https://giftrule-disclosure.senate.gov/media/2024/dRtBOlAyskWFVsA7LPZaow.pdf,dRtBOlAyskWFVsA7LPZaow.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
CANNON,RYAN,"CRUZ, TED",TED,NA,NA,Employee Reimbursed Travel,2024,2024-04-25,2024-04-26,2024-05-20,2024-05-21,12,https://giftrule-disclosure.senate.gov/media/2024/nXMhfDTtk2L6z0kjN1Q.pdf,nXMhfDTtk2L6z0kjN1Q.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
CANTRELL,BENJAMIN,"MULLIN, MARKWAYNE",MARKWAYNE,NA,NA,Employee Reimbursed Travel,2024,2024-05-02,2024-05-04,2024-05-14,2024-05-14,20,https://giftrule-disclosure.senate.gov/media/2024/VxhkChCWUaV2Yqek7zqw.pdf,VxhkChCWUaV2Yqek7zqw.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
CANTRELL,BENJAMIN,"MULLIN, MARKWAYNE",MARKWAYNE,NA,NA,Employee Reimbursed Travel,2024,2024-04-18,2024-04-22,2024-05-14,2024-05-14,22,https://giftrule-disclosure.senate.gov/media/2024/9JD2QBc1W0O3VLLG7GHmaA.pdf,9JD2QBc1W0O3VLLG7GHmaA.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
CASSIDY,BILL,"CASSIDY, BILL",BILL,NA,NA,Member Reimbursed Travel,2024,2024-03-30,2024-04-06,2024-05-06,2024-05-07,18,https://giftrule-disclosure.senate.gov/media/2024/ddXOAf3ZHUSXG20zih8GrQ.pdf,ddXOAf3ZHUSXG20zih8GrQ.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,TRUE,NA
CONTRERAS,MANUEL,"MURRAY, PATTY",PATTY,NA,NA,Employee Reimbursed Travel,2024,2024-04-02,2024-04-04,2024-05-23,2024-05-24,22,https://giftrule-disclosure.senate.gov/media/2024/yeMujXt1Uu6xaQv5uQWw.pdf,yeMujXt1Uu6xaQv5uQWw.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
DAVIS,JENNIFER,"GRASSLEY, CHUCK",CHUCK,NA,NA,Employee Reimbursed Travel,2024,2024-05-02,2024-05-04,2024-05-15,2024-05-16,20,https://giftrule-disclosure.senate.gov/media/2024/Y12TOQMQ0Emn1xADRb6PA.pdf,Y12TOQMQ0Emn1xADRb6PA.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
