doc_id,combined_dests,destination
500006931,"Taipei, Taiwan","Taipei, Taiwan"
500006933,"Las Vegas, NV","Las Vegas, NV"
500006937,"Las Vegas, NV","Las Vegas, NV"
500006938,"Las Vegas, NV","Las Vegas, NV"
500006939,"Las Vegas, NV","Las Vegas, NV"
500006942,"Las Vegas, NV","Las Vegas, NV"
500006945,"Las Vegas, NV","Las Vegas, NV"
500006946,"Las Vegas, NV","Las Vegas, NV"
500006947,"Las Vegas, NV","Las Vegas, NV"
500006949,"Las Vegas, NV","Las Vegas, NV"
500006950,"Las Vegas, NV","Las Vegas, NV"
500006951,"Las Vegas, NV","Las Vegas, NV"
500006952,"Las Vegas, NV","Las Vegas, NV"
500006955,"Las Vegas, NV","Las Vegas, NV"
500006956,"Las Vegas, NV","Las Vegas, NV"
500006958,"Las Vegas, NV","Las Vegas, NV"
500006961,"Denver, CO","Denver, CO"
500006962,"Las Vegas, NV","Las Vegas, NV"
500006964,"Las Vegas, NV","Las Vegas, NV"
500006965,"Las Vegas, NV","Las Vegas, NV"
500006966,"Las Vegas, NV","Las Vegas, NV"
500006967,"Nashville, TN","Nashville, TN"
500006968,"Nashville, TN","Nashville, TN"
500006969,"Las Vegas, NV","Las Vegas, NV"
500006970,"Las Vegas, NV","Las Vegas, NV"
500006971,"Nashville, TN","Nashville, TN"
500006984,"Denver, CO","Denver, CO"
500006985,"Nashville, TN","Nashville, TN"
500006986,"Ho Chi Minh City, Vietnam","Ho Chi Minh City, Vietnam"
500006987,"Las Vegas, NV","Las Vegas, NV"
500006989,"Las Vegas, NV","Las Vegas, NV"
500006990,"Las Vegas, NV","Las Vegas, NV"
500006991,"Baltimore, MD","Baltimore, MD"
500006992,"Tokyo, Japan","Tokyo, Japan"
500006993,"Las Vegas, NV","Las Vegas, NV"
500006994,"Fort Lauderdale, FL","Fort Lauderdale, FL"
500006996,"Las Vegas, NV","Las Vegas, NV"
500006997,"Accra, Ghana; Monorovia, Liberia","Accra, Ghana"
500006997,"Accra, Ghana; Monorovia, Liberia","Monorovia, Liberia"
500006999,"Tokyo, Japan","Tokyo, Japan"
500007001,"Las Vegas, NV","Las Vegas, NV"
500007002,"Las Vegas, NV","Las Vegas, NV"
500007003,"Las Vegas, NV","Las Vegas, NV"
500007005,"Baltimore, MD","Baltimore, MD"
500007006,"Accra, Ghana; Monorovia, Liberia","Accra, Ghana"
500007006,"Accra, Ghana; Monorovia, Liberia","Monorovia, Liberia"
500007007,"Las Vegas, NV","Las Vegas, NV"
500007008,"Las Vegas, NV","Las Vegas, NV"
500007010,"New York, NY","New York, NY"
500007011,"New York, NY","New York, NY"
500007012,"Las Vegas, NV","Las Vegas, NV"
500007013,"Las Vegas, NV","Las Vegas, NV"
500007014,"Denver, CO","Denver, CO"
