doc_id,travel_sponsor,sponsors_cleaned,sponsor
500006931,Fu Jen Catholic University,Fu Jen Catholic University,Fu Jen Catholic University
500006933,Consumer Electronics Association,Consumer Technology Association,Consumer Technology Association
500006937,Consumer Electronics Association,Consumer Technology Association,Consumer Technology Association
500006938,Consumer Electronics Association,Consumer Technology Association,Consumer Technology Association
500006939,Consumer Electronics Association,Consumer Technology Association,Consumer Technology Association
500006942,Consumer Electronics Association,Consumer Technology Association,Consumer Technology Association
500006945,"Consumer Electronics Association (""CES"")",Consumer Technology Association,Consumer Technology Association
500006946,Consumer Electronics Association,Consumer Technology Association,Consumer Technology Association
500006947,Consumer Electronics Association,Consumer Technology Association,Consumer Technology Association
500006949,Consumer Electronic Association,Consumer Technology Association,Consumer Technology Association
500006950,Consumer Electronics Association,Consumer Technology Association,Consumer Technology Association
500006951,Consumer Electronics Association,Consumer Technology Association,Consumer Technology Association
500006952,Consumer Electronics Association,Consumer Technology Association,Consumer Technology Association
500006955,Consumer Electronics Association,Consumer Technology Association,Consumer Technology Association
500006956,Consumer Electronics Association,Consumer Technology Association,Consumer Technology Association
500006958,Consumer Electronics Association,Consumer Technology Association,Consumer Technology Association
500006961,Alliance to Save Energy,Alliance To Save Energy,Alliance to Save Energy
500006962,Consumer Electronics Association,Consumer Technology Association,Consumer Technology Association
500006964,Consumer Electronics Association,Consumer Technology Association,Consumer Technology Association
500006965,Consumer Electronics Association,Consumer Technology Association,Consumer Technology Association
500006966,Consumer Electronics Association (CEA),Consumer Technology Association,Consumer Technology Association
500006967,The Aspen Institute Education and Society Program,Aspen Institute,The Aspen Institute
500006968,Aspen Institute,Aspen Institute,The Aspen Institute
500006969,Consumer Electronics Association,Consumer Technology Association,Consumer Technology Association
500006970,Consumer Electronics Association,Consumer Technology Association,Consumer Technology Association
500006971,Aspen Institute Education and Society Program,Aspen Institute,The Aspen Institute
500006984,Alliance to Save Energy,Alliance To Save Energy,Alliance to Save Energy
500006985,The Aspen Institute Education and Society Program,Aspen Institute,The Aspen Institute
500006986,International Association of Democratic Lawyers and the Vietnam Association of Victims of Agent Ora,International Association Of Democratic Lawyers;Vietnam Association Of Victims Of Agent Orange,International Association of Democratic Lawyers
500006986,International Association of Democratic Lawyers and the Vietnam Association of Victims of Agent Ora,International Association Of Democratic Lawyers;Vietnam Association Of Victims Of Agent Orange,Vietnam Association of Victims of Agent Orange
500006987,Consumer Electronics Association,Consumer Technology Association,Consumer Technology Association
500006989,Consumer Electronics Association,Consumer Technology Association,Consumer Technology Association
500006990,Consumer Electronics Association,Consumer Technology Association,Consumer Technology Association
500006991,Congressional Institute,Congressional Institute,Congressional Institute
500006992,US/Japan - South Korea Legislative Exchange Program,US-Japan-South Korea Legislative Exchange Program at George Washington University,U.S.-Japan-South Korea Legislative Exchange Program
500006993,Consumer Electronics Association,Consumer Technology Association,Consumer Technology Association
500006994,The Commonwealth Fund and Alliance for Human Reform,The Commonwealth Fund; Alliance For Human Reform,Commonwealth Fund
500006994,The Commonwealth Fund and Alliance for Human Reform,The Commonwealth Fund; Alliance For Human Reform,Alliance for Human Reform
500006996,Consumer Electronics Association,Consumer Technology Association,Consumer Technology Association
500006997,"CARE, Inc.",Cooperative Assistance for Relief Everywhere,Cooperative for Assistance and Relief Everywhere
500006999,US - Japan - South Korea Legislative Exchange Program under a grant from the US - Japan Friendship,US-Japan-South Korea Legislative Exchange Program at George Washington University;Japan-US Friendship Commission,U.S.-Japan-South Korea Legislative Exchange Program
500006999,US - Japan - South Korea Legislative Exchange Program under a grant from the US - Japan Friendship,US-Japan-South Korea Legislative Exchange Program at George Washington University;Japan-US Friendship Commission,Japan-US Friendship Commission
500007001,Consumer Electronics Association,Consumer Technology Association,Consumer Technology Association
500007002,Consumer Electronics Association,Consumer Technology Association,Consumer Technology Association
500007003,Consumer Electronics Association,Consumer Technology Association,Consumer Technology Association
500007005,Progressive Congress.org,Progressive Caucus Center,Progressive Caucus Center
500007006,"CARE, Inc.",Cooperative Assistance for Relief Everywhere,Cooperative for Assistance and Relief Everywhere
500007007,Consumer Electronics Association,Consumer Technology Association,Consumer Technology Association
500007008,Consumer Electronics Association,Consumer Technology Association,Consumer Technology Association
